Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
BRONX,3,2024,Asian,571,446,145,25.4,161,28.2,163,28.5,102,17.9,265,46.4
BRONX,3,2024,Black,2005,437,815,40.6,599,29.9,455,22.7,136,6.8,591,29.5
BRONX,3,2024,Hispanic,6250,436,2700,43.2,1835,29.4,1291,20.7,424,6.8,1715,27.4
BRONX,3,2024,Multi-Racial,95,446,20,21.1,32,33.7,30,31.6,13,13.7,43,45.3
BRONX,3,2024,Native American,103,436,46,44.7,27,26.2,23,22.3,7,6.8,30,29.1
BRONX,3,2024,White,450,446,128,28.4,110,24.4,138,30.7,74,16.4,212,47.1
BRONX,4,2024,Asian,532,448,123,23.1,115,21.6,165,31.0,129,24.2,294,55.3
BRONX,4,2024,Black,2219,437,864,38.9,619,27.9,501,22.6,235,10.6,736,33.2
BRONX,4,2024,Hispanic,6553,437,2585,39.4,1845,28.2,1471,22.4,652,9.9,2123,32.4
BRONX,4,2024,Multi-Racial,76,446,22,28.9,19,25.0,19,25.0,16,21.1,35,46.1
BRONX,4,2024,Native American,96,437,40,41.7,26,27.1,20,20.8,10,10.4,30,31.3
BRONX,4,2024,White,433,446,104,24.0,115,26.6,119,27.5,95,21.9,214,49.4
BRONX,5,2024,Asian,542,447,118,21.8,147,27.1,187,34.5,90,16.6,277,51.1
BRONX,5,2024,Black,2378,435,972,40.9,733,30.8,547,23.0,126,5.3,673,28.3
BRONX,5,2024,Hispanic,6987,434,3075,44.0,2108,30.2,1463,20.9,341,4.9,1804,25.8
BRONX,5,2024,Multi-Racial,89,446,26,29.2,20,22.5,27,30.3,16,18.0,43,48.3
BRONX,5,2024,Native American,116,440,38,32.8,35,30.2,35,30.2,8,6.9,43,37.1
BRONX,5,2024,White,444,445,128,28.8,106,23.9,145,32.7,65,14.6,210,47.3
BRONX,6,2024,Asian,530,451,96,18.1,126,23.8,174,32.8,134,25.3,308,58.1
BRONX,6,2024,Black,2275,436,898,39.5,693,30.5,515,22.6,169,7.4,684,30.1
BRONX,6,2024,Hispanic,6829,435,2862,41.9,1983,29.0,1517,22.2,467,6.8,1984,29.1
BRONX,6,2024,Multi-Racial,61,441,19,31.1,14,23.0,18,29.5,10,16.4,28,45.9
BRONX,6,2024,Native American,99,439,36,36.4,26,26.3,26,26.3,11,11.1,37,37.4
BRONX,6,2024,White,471,445,117,24.8,132,28.0,136,28.9,86,18.3,222,47.1
BRONX,7,2024,Asian,507,459,62,12.2,87,17.2,161,31.8,197,38.9,358,70.6
BRONX,7,2024,Black,2441,444,705,28.9,688,28.2,746,30.6,302,12.4,1048,42.9
BRONX,7,2024,Hispanic,6852,442,2115,30.9,2042,29.8,1932,28.2,763,11.1,2695,39.3
BRONX,7,2024,Multi-Racial,59,456,6,10.2,16,27.1,18,30.5,19,32.2,37,62.7
BRONX,7,2024,Native American,137,444,38,27.7,45,32.8,36,26.3,18,13.1,54,39.4
BRONX,7,2024,White,406,449,88,21.7,107,26.4,131,32.3,80,19.7,211,52.0
BRONX,8,2024,Asian,517,457,70,13.5,100,19.3,161,31.1,186,36.0,347,67.1
BRONX,8,2024,Black,2625,442,766,29.2,798,30.4,700,26.7,361,13.8,1061,40.4
BRONX,8,2024,Hispanic,7307,442,2200,30.1,2172,29.7,1918,26.2,1017,13.9,2935,40.2
BRONX,8,2024,Multi-Racial,27,449,3,11.1,10,37.0,10,37.0,4,14.8,14,51.9
BRONX,8,2024,Native American,89,441,26,29.2,30,33.7,21,23.6,12,13.5,33,37.1
BRONX,8,2024,White,452,450,92,20.4,117,25.9,134,29.6,109,24.1,243,53.8
BRONX,All Grades,2024,Asian,3199,451,614,19.2,736,23.0,1011,31.6,838,26.2,1849,57.8
BRONX,All Grades,2024,Black,13943,439,5020,36.0,4130,29.6,3464,24.8,1329,9.5,4793,34.4
BRONX,All Grades,2024,Hispanic,40778,438,15537,38.1,11985,29.4,9592,23.5,3664,9.0,13256,32.5
BRONX,All Grades,2024,Multi-Racial,407,447,96,23.6,111,27.3,122,30.0,78,19.2,200,49.1
BRONX,All Grades,2024,Native American,640,440,224,35.0,189,29.5,161,25.2,66,10.3,227,35.5
