Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
BRONX,3,2024,Not SWD,7033,441,2340,33.3,2144,30.5,1853,26.3,696,9.9,2549,36.2
BRONX,3,2024,SWD,2446,427,1518,62.1,621,25.4,247,10.1,60,2.5,307,12.6
BRONX,4,2024,Not SWD,7347,442,2170,29.5,2099,28.6,2023,27.5,1055,14.4,3078,41.9
BRONX,4,2024,SWD,2568,426,1573,61.3,641,25.0,272,10.6,82,3.2,354,13.8
BRONX,5,2024,Not SWD,7878,440,2573,32.7,2522,32.0,2171,27.6,612,7.8,2783,35.3
BRONX,5,2024,SWD,2757,423,1815,65.8,655,23.8,246,8.9,41,1.5,287,10.4
BRONX,6,2024,Not SWD,7456,441,2180,29.2,2340,31.4,2104,28.2,832,11.2,2936,39.4
BRONX,6,2024,SWD,2813,424,1850,65.8,636,22.6,282,10.0,45,1.6,327,11.6
BRONX,7,2024,Not SWD,7763,448,1703,21.9,2157,27.8,2601,33.5,1302,16.8,3903,50.3
BRONX,7,2024,SWD,2654,432,1316,49.6,830,31.3,428,16.1,80,3.0,508,19.1
BRONX,8,2024,Not SWD,8198,448,1716,20.9,2342,28.6,2541,31.0,1599,19.5,4140,50.5
BRONX,8,2024,SWD,2870,430,1458,50.8,902,31.4,413,14.4,97,3.4,510,17.8
BRONX,All Grades,2024,Not SWD,45675,443,12682,27.8,13604,29.8,13293,29.1,6096,13.3,19389,42.4
BRONX,All Grades,2024,SWD,16108,427,9530,59.2,4285,26.6,1888,11.7,405,2.5,2293,14.2
BRONX,3,2023,Not SWD,7491,441,2699,36.0,2039,27.2,1887,25.2,866,11.6,2753,36.8
BRONX,3,2023,SWD,2329,426,1537,66.0,507,21.8,214,9.2,71,3.0,285,12.2
BRONX,4,2023,Not SWD,7900,445,1846,23.4,2675,33.9,2331,29.5,1048,13.3,3379,42.8
BRONX,4,2023,SWD,2726,429,1523,55.9,807,29.6,317,11.6,79,2.9,396,14.5
