Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Bronx,Asian,2019,4 year August,903,859,95.1,857,94.9,99.8,550,60.9,64.0,307,34.0,35.7,2,0.2,0.2,28,3.1,10,1.1,1,0.1,4,0.4
Bronx,Asian,2018,4 year August,932,879,94.3,878,94.2,99.9,582,62.4,66.2,296,31.8,33.7,1,0.1,0.1,31,3.3,20,2.1,0,0.0,2,0.2
Bronx,Asian,2017,4 year August,993,925,93.2,925,93.2,100.0,650,65.5,70.3,275,27.7,29.7,0,0.0,0.0,49,4.9,16,1.6,0,0.0,3,0.3
Bronx,Asian,2016,4 year August,974,906,93.0,903,92.7,99.7,621,63.8,68.5,282,29.0,31.1,3,0.3,0.3,45,4.6,21,2.2,0,0.0,2,0.2
Bronx,Asian,2015,4 year August,999,923,92.4,894,89.5,96.9,575,57.6,62.3,319,31.9,34.6,29,2.9,3.1,48,4.8,25,2.5,1,0.1,2,0.2
Bronx,Asian,2014,4 year August,968,866,89.5,839,86.7,96.9,562,58.1,64.9,277,28.6,32.0,27,2.8,3.1,71,7.3,29,3.0,1,0.1,1,0.1
Bronx,Asian,2013,4 year August,883,801,90.7,784,88.8,97.9,533,60.4,66.5,251,28.4,31.3,17,1.9,2.1,56,6.3,23,2.6,2,0.2,1,0.1
Bronx,Asian,2012,4 year August,981,876,89.3,855,87.2,97.6,543,55.4,62.0,312,31.8,35.6,21,2.1,2.4,70,7.1,31,3.2,2,0.2,2,0.2
Bronx,Asian,2019,4 year June,903,848,93.9,846,93.7,99.8,548,60.7,64.6,298,33.0,35.1,2,0.2,0.2,38,4.2,11,1.2,1,0.1,4,0.4
Bronx,Asian,2018,4 year June,932,871,93.5,870,93.3,99.9,581,62.3,66.7,289,31.0,33.2,1,0.1,0.1,39,4.2,20,2.1,0,0.0,2,0.2
Bronx,Asian,2017,4 year June,993,914,92.0,914,92.0,100.0,649,65.4,71.0,265,26.7,29.0,0,0.0,0.0,60,6.0,16,1.6,0,0.0,3,0.3
Bronx,Asian,2016,4 year June,974,898,92.2,895,91.9,99.7,621,63.8,69.2,274,28.1,30.5,3,0.3,0.3,52,5.3,22,2.3,0,0.0,2,0.2
Bronx,Asian,2015,4 year June,999,910,91.1,888,88.9,97.6,574,57.5,63.1,314,31.4,34.5,22,2.2,2.4,61,6.1,25,2.5,1,0.1,2,0.2
Bronx,Asian,2014,4 year June,968,849,87.7,828,85.5,97.5,562,58.1,66.2,266,27.5,31.3,21,2.2,2.5,88,9.1,29,3.0,1,0.1,1,0.1
Bronx,Asian,2013,4 year June,883,788,89.2,774,87.7,98.2,533,60.4,67.6,241,27.3,30.6,14,1.6,1.8,69,7.8,23,2.6,2,0.2,1,0.1
Bronx,Asian,2012,4 year June,981,859,87.6,842,85.8,98.0,542,55.2,63.1,300,30.6,34.9,17,1.7,2.0,87,8.9,31,3.2,2,0.2,2,0.2
Bronx,Asian,2018,5 year August,931,889,95.5,888,95.4,99.9,583,62.6,65.6,305,32.8,34.3,1,0.1,0.1,12,1.3,23,2.5,3,0.3,4,0.4
Bronx,Asian,2017,5 year August,991,934,94.2,933,94.1,99.9,651,65.7,69.7,282,28.5,30.2,1,0.1,0.1,18,1.8,32,3.2,3,0.3,4,0.4
Bronx,Asian,2016,5 year August,972,919,94.5,916,94.2,99.7,621,63.9,67.6,295,30.3,32.1,3,0.3,0.3,14,1.4,33,3.4,3,0.3,3,0.3
Bronx,Asian,2015,5 year August,999,948,94.9,916,91.7,96.6,575,57.6,60.7,341,34.1,36.0,32,3.2,3.4,9,0.9,33,3.3,5,0.5,4,0.4
Bronx,Asian,2014,5 year August,963,884,91.8,849,88.2,96.0,562,58.4,63.6,287,29.8,32.5,35,3.6,4.0,18,1.9,53,5.5,4,0.4,4,0.4
Bronx,Asian,2013,5 year August,880,810,92.0,790,89.8,97.5,533,60.6,65.8,257,29.2,31.7,20,2.3,2.5,28,3.2,36,4.1,5,0.6,1,0.1
Bronx,Asian,2012,5 year August,974,892,91.6,866,88.9,97.1,543,55.7,60.9,323,33.2,36.2,26,2.7,2.9,33,3.4,40,4.1,8,0.8,1,0.1
Bronx,Asian,2018,5 year June,931,888,95.4,887,95.3,99.9,583,62.6,65.7,304,32.7,34.2,1,0.1,0.1,13,1.4,23,2.5,3,0.3,4,0.4
