Borough,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Bronx,Not SWD,2019,4 year August,9215,7911,85.8,7904,85.8,99.9,1735,18.8,21.9,6169,66.9,78.0,7,0.1,0.1,604,6.6,613,6.7,1,0.0,72,0.8
Bronx,Not SWD,2018,4 year August,9409,8129,86.4,8110,86.2,99.8,2392,25.4,29.4,5718,60.8,70.3,19,0.2,0.2,598,6.4,616,6.5,0,0.0,58,0.6
Bronx,Not SWD,2017,4 year August,9860,8439,85.6,8436,85.6,100.0,2727,27.7,32.3,5709,57.9,67.7,3,0.0,0.0,765,7.8,594,6.0,0,0.0,59,0.6
Bronx,Not SWD,2016,4 year August,10353,8384,81.0,8343,80.6,99.5,2256,21.8,26.9,6087,58.8,72.6,41,0.4,0.5,990,9.6,859,8.3,1,0.0,119,1.1
Bronx,Not SWD,2015,4 year August,10545,8236,78.1,7793,73.9,94.6,1549,14.7,18.8,6244,59.2,75.8,443,4.2,5.4,1075,10.2,1116,10.6,1,0.0,117,1.1
Bronx,Not SWD,2014,4 year August,10723,8008,74.7,7615,71.0,95.1,1564,14.6,19.5,6051,56.4,75.6,393,3.7,4.9,1507,14.1,1094,10.2,2,0.0,112,1.0
Bronx,Not SWD,2013,4 year August,10612,7865,74.1,7539,71.0,95.9,1506,14.2,19.1,6033,56.9,76.7,326,3.1,4.1,1608,15.2,1023,9.6,5,0.0,104,1.0
Bronx,Not SWD,2012,4 year August,10827,7787,71.9,7574,70.0,97.3,1488,13.7,19.1,6086,56.2,78.2,213,2.0,2.7,1754,16.2,1200,11.1,4,0.0,75,0.7
Bronx,Not SWD,2019,4 year June,9215,7703,83.6,7698,83.5,99.9,1733,18.8,22.5,5965,64.7,77.4,5,0.1,0.1,802,8.7,623,6.8,1,0.0,72,0.8
Bronx,Not SWD,2018,4 year June,9409,7971,84.7,7955,84.5,99.8,2385,25.3,29.9,5570,59.2,69.9,16,0.2,0.2,753,8.0,619,6.6,0,0.0,58,0.6
Bronx,Not SWD,2017,4 year June,9860,8190,83.1,8187,83.0,100.0,2713,27.5,33.1,5474,55.5,66.8,3,0.0,0.0,1012,10.3,596,6.0,0,0.0,59,0.6
Bronx,Not SWD,2016,4 year June,10353,8203,79.2,8164,78.9,99.5,2255,21.8,27.5,5909,57.1,72.0,39,0.4,0.5,1160,11.2,870,8.4,1,0.0,119,1.1
Bronx,Not SWD,2015,4 year June,10545,7804,74.0,7441,70.6,95.3,1545,14.7,19.8,5896,55.9,75.6,363,3.4,4.7,1495,14.2,1128,10.7,1,0.0,117,1.1
Bronx,Not SWD,2014,4 year June,10723,7600,70.9,7285,67.9,95.9,1560,14.5,20.5,5725,53.4,75.3,315,2.9,4.1,1913,17.8,1094,10.2,4,0.0,112,1.0
Bronx,Not SWD,2013,4 year June,10612,7499,70.7,7232,68.1,96.4,1502,14.2,20.0,5730,54.0,76.4,267,2.5,3.6,1968,18.5,1023,9.6,11,0.1,104,1.0
Bronx,Not SWD,2012,4 year June,10827,7469,69.0,7299,67.4,97.7,1486,13.7,19.9,5813,53.7,77.8,170,1.6,2.3,2072,19.1,1200,11.1,4,0.0,75,0.7
Bronx,Not SWD,2018,5 year August,9385,8340,88.9,8321,88.7,99.8,2394,25.5,28.7,5927,63.2,71.1,19,0.2,0.2,170,1.8,791,8.4,0,0.0,75,0.8
Bronx,Not SWD,2017,5 year August,9880,8719,88.2,8709,88.1,99.9,2731,27.6,31.3,5978,60.5,68.6,10,0.1,0.1,173,1.8,898,9.1,0,0.0,86,0.9
Bronx,Not SWD,2016,5 year August,10303,8772,85.1,8727,84.7,99.5,2259,21.9,25.8,6468,62.8,73.7,45,0.4,0.5,313,3.0,1104,10.7,1,0.0,108,1.0
Bronx,Not SWD,2015,5 year August,10508,8753,83.3,8272,78.7,94.5,1553,14.8,17.7,6719,63.9,76.8,481,4.6,5.5,288,2.7,1331,12.7,1,0.0,135,1.3
Bronx,Not SWD,2014,5 year August,10641,8496,79.8,7996,75.1,94.1,1564,14.7,18.4,6432,60.4,75.7,500,4.7,5.9,344,3.2,1680,15.8,2,0.0,118,1.1
Bronx,Not SWD,2013,5 year August,10520,8317,79.1,7891,75.0,94.9,1508,14.3,18.1,6383,60.7,76.7,426,4.0,5.1,636,6.0,1460,13.9,6,0.1,101,1.0
Bronx,Not SWD,2012,5 year August,10768,8291,77.0,7982,74.1,96.3,1488,13.8,17.9,6494,60.3,78.3,309,2.9,3.7,752,7.0,1625,15.1,11,0.1,83,0.8
Bronx,Not SWD,2018,5 year June,9385,8317,88.6,8298,88.4,99.8,2393,25.5,28.8,5905,62.9,71.0,19,0.2,0.2,186,2.0,798,8.5,0,0.0,75,0.8
Bronx,Not SWD,2017,5 year June,9880,8695,88.0,8687,87.9,99.9,2731,27.6,31.4,5956,60.3,68.5,8,0.1,0.1,189,1.9,906,9.2,0,0.0,86,0.9
Bronx,Not SWD,2016,5 year June,10303,8738,84.8,8694,84.4,99.5,2259,21.9,25.9,6435,62.5,73.6,44,0.4,0.5,343,3.3,1108,10.8,1,0.0,108,1.0
Bronx,Not SWD,2015,5 year June,10508,8702,82.8,8223,78.3,94.5,1553,14.8,17.8,6670,63.5,76.6,479,4.6,5.5,317,3.0,1353,12.9,1,0.0,135,1.3
Bronx,Not SWD,2014,5 year June,10641,8422,79.1,7940,74.6,94.3,1564,14.7,18.6,6376,59.9,75.7,482,4.5,5.7,398,3.7,1699,16.0,2,0.0,119,1.1
