Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
BRONX,3,2024,Asian,602,458,54,9.0,169,28.1,255,42.4,124,20.6,379,63.0
BRONX,3,2024,Black,2025,443,406,20.0,822,40.6,647,32.0,150,7.4,797,39.4
BRONX,3,2024,Hispanic,6649,442,1507,22.7,2607,39.2,2036,30.6,499,7.5,2535,38.1
BRONX,3,2024,Multi-Racial,93,455,12,12.9,26,28.0,35,37.6,20,21.5,55,59.1
BRONX,3,2024,Native American,104,441,19,18.3,48,46.2,30,28.8,7,6.7,37,35.6
BRONX,3,2024,White,468,456,42,9.0,130,27.8,222,47.4,74,15.8,296,63.2
BRONX,4,2024,Asian,555,463,80,14.4,111,20.0,214,38.6,150,27.0,364,65.6
BRONX,4,2024,Black,2233,443,795,35.6,588,26.3,638,28.6,212,9.5,850,38.1
BRONX,4,2024,Hispanic,6865,443,2334,34.0,1859,27.1,2036,29.7,636,9.3,2672,38.9
BRONX,4,2024,Multi-Racial,73,458,16,21.9,17,23.3,19,26.0,21,28.8,40,54.8
BRONX,4,2024,Native American,97,444,35,36.1,22,22.7,32,33.0,8,8.2,40,41.2
BRONX,4,2024,White,459,459,85,18.5,84,18.3,178,38.8,112,24.4,290,63.2
BRONX,5,2024,Asian,551,461,95,17.2,122,22.1,185,33.6,149,27.0,334,60.6
BRONX,5,2024,Black,2379,440,989,41.6,628,26.4,587,24.7,175,7.4,762,32.0
BRONX,5,2024,Hispanic,6752,441,2666,39.5,1764,26.1,1780,26.4,542,8.0,2322,34.4
BRONX,5,2024,Multi-Racial,87,454,27,31.0,12,13.8,29,33.3,19,21.8,48,55.2
BRONX,5,2024,Native American,118,446,35,29.7,36,30.5,35,29.7,12,10.2,47,39.8
BRONX,5,2024,White,448,457,99,22.1,87,19.4,153,34.2,109,24.3,262,58.5
BRONX,6,2024,Asian,551,463,76,13.8,100,18.1,227,41.2,148,26.9,375,68.1
BRONX,6,2024,Black,2266,439,914,40.3,672,29.7,585,25.8,95,4.2,680,30.0
BRONX,6,2024,Hispanic,7108,439,2713,38.2,2197,30.9,1864,26.2,334,4.7,2198,30.9
BRONX,6,2024,Multi-Racial,65,449,18,27.7,11,16.9,31,47.7,5,7.7,36,55.4
BRONX,6,2024,Native American,105,444,41,39.0,24,22.9,31,29.5,9,8.6,40,38.1
BRONX,6,2024,White,485,455,94,19.4,110,22.7,191,39.4,90,18.6,281,57.9
BRONX,7,2024,Asian,536,473,45,8.4,93,17.4,138,25.7,260,48.5,398,74.3
BRONX,7,2024,Black,2427,445,673,27.7,796,32.8,665,27.4,293,12.1,958,39.5
BRONX,7,2024,Hispanic,7084,446,1786,25.2,2362,33.3,2061,29.1,875,12.4,2936,41.4
BRONX,7,2024,Multi-Racial,59,457,13,22.0,12,20.3,16,27.1,18,30.5,34,57.6
BRONX,7,2024,Native American,141,447,46,32.6,36,25.5,35,24.8,24,17.0,59,41.8
BRONX,7,2024,White,400,458,72,18.0,84,21.0,140,35.0,104,26.0,244,61.0
BRONX,8,2024,Asian,321,456,79,24.6,70,21.8,90,28.0,82,25.5,172,53.6
BRONX,8,2024,Black,1733,438,845,48.8,364,21.0,384,22.2,140,8.1,524,30.2
BRONX,8,2024,Hispanic,5456,441,2438,44.7,1123,20.6,1414,25.9,481,8.8,1895,34.7
BRONX,8,2024,Multi-Racial,15,449,4,26.7,4,26.7,5,33.3,2,13.3,7,46.7
BRONX,8,2024,Native American,61,438,32,52.5,11,18.0,14,23.0,4,6.6,18,29.5
BRONX,8,2024,White,295,453,83,28.1,59,20.0,100,33.9,53,18.0,153,51.9
BRONX,All Grades,2024,Asian,3116,462,429,13.8,665,21.3,1109,35.6,913,29.3,2022,64.9
BRONX,All Grades,2024,Black,13063,441,4622,35.4,3870,29.6,3506,26.8,1065,8.2,4571,35.0
BRONX,All Grades,2024,Hispanic,39914,442,13444,33.7,11912,29.8,11191,28.0,3367,8.4,14558,36.5
BRONX,All Grades,2024,Multi-Racial,392,454,90,23.0,82,20.9,135,34.4,85,21.7,220,56.1
BRONX,All Grades,2024,Native American,626,444,208,33.2,177,28.3,177,28.3,64,10.2,241,38.5
BRONX,All Grades,2024,White,2555,456,475,18.6,554,21.7,984,38.5,542,21.2,1526,59.7
BRONX,3,2023,Asian,565,458,64,11.3,161,28.5,206,36.5,134,23.7,340,60.2
BRONX,3,2023,Black,2257,441,617,27.3,853,37.8,609,27.0,178,7.9,787,34.9
BRONX,3,2023,Hispanic,6742,441,1789,26.5,2556,37.9,1869,27.7,528,7.8,2397,35.6
BRONX,3,2023,Multi-Racial,67,449,16,23.9,19,28.4,19,28.4,13,19.4,32,47.8
BRONX,3,2023,Native American,98,444,22,22.4,38,38.8,31,31.6,7,7.1,38,38.8
BRONX,3,2023,White,482,455,62,12.9,140,29.0,185,38.4,95,19.7,280,58.1
BRONX,4,2023,Asian,592,458,104,17.6,143,24.2,207,35.0,138,23.3,345,58.3
BRONX,4,2023,Black,2443,439,995,40.7,681,27.9,635,26.0,132,5.4,767,31.4
BRONX,4,2023,Hispanic,7281,438,2972,40.8,2029,27.9,1915,26.3,365,5.0,2280,31.3
BRONX,4,2023,Multi-Racial,83,454,18,21.7,20,24.1,30,36.1,15,18.1,45,54.2
BRONX,4,2023,Native American,113,449,27,23.9,34,30.1,39,34.5,13,11.5,52,46.0
BRONX,4,2023,White,514,456,107,20.8,106,20.6,189,36.8,112,21.8,301,58.6
BRONX,5,2023,Asian,581,460,96,16.5,119,20.5,219,37.7,147,25.3,366,63.0
BRONX,5,2023,Black,2535,438,1088,42.9,705,27.8,597,23.6,145,5.7,742,29.3
BRONX,5,2023,Hispanic,7592,439,3122,41.1,2130,28.1,1893,24.9,447,5.9,2340,30.8
BRONX,5,2023,Multi-Racial,66,454,17,25.8,11,16.7,27,40.9,11,16.7,38,57.6
BRONX,5,2023,Native American,107,444,40,37.4,24,22.4,34,31.8,9,8.4,43,40.2
BRONX,5,2023,White,509,455,119,23.4,118,23.2,161,31.6,111,21.8,272,53.4
BRONX,6,2023,Asian,539,463,92,17.1,92,17.1,202,37.5,153,28.4,355,65.9
BRONX,6,2023,Black,2429,436,1145,47.1,684,28.2,503,20.7,97,4.0,600,24.7
BRONX,6,2023,Hispanic,7114,438,3128,44.0,2038,28.6,1642,23.1,306,4.3,1948,27.4
BRONX,6,2023,Multi-Racial,59,449,20,33.9,12,20.3,19,32.2,8,13.6,27,45.8
BRONX,6,2023,Native American,133,441,58,43.6,31,23.3,35,26.3,9,6.8,44,33.1
BRONX,6,2023,White,443,450,122,27.5,100,22.6,170,38.4,51,11.5,221,49.9
BRONX,7,2023,Asian,558,463,69,12.4,117,21.0,176,31.5,196,35.1,372,66.7
BRONX,7,2023,Black,2622,440,898,34.2,915,34.9,604,23.0,205,7.8,809,30.9
BRONX,7,2023,Hispanic,7465,442,2405,32.2,2598,34.8,1819,24.4,643,8.6,2462,33.0
BRONX,7,2023,Multi-Racial,31,447,7,22.6,9,29.0,12,38.7,3,9.7,15,48.4
BRONX,7,2023,Native American,82,445,27,32.9,24,29.3,21,25.6,10,12.2,31,37.8
BRONX,7,2023,White,486,456,87,17.9,123,25.3,149,30.7,127,26.1,276,56.8
BRONX,8,2023,Asian,373,460,86,23.1,57,15.3,130,34.9,100,26.8,230,61.7
BRONX,8,2023,Black,1942,437,1050,54.1,324,16.7,438,22.6,130,6.7,568,29.2
BRONX,8,2023,Hispanic,5886,439,2984,50.7,1066,18.1,1410,24.0,426,7.2,1836,31.2
BRONX,8,2023,Multi-Racial,28,445,12,42.9,6,21.4,8,28.6,2,7.1,10,35.7
BRONX,8,2023,Native American,76,445,30,39.5,16,21.1,22,28.9,8,10.5,30,39.5
BRONX,8,2023,White,350,448,128,36.6,68,19.4,107,30.6,47,13.4,154,44.0
BRONX,All Grades,2023,Asian,3208,460,511,15.9,689,21.5,1140,35.5,868,27.1,2008,62.6
BRONX,All Grades,2023,Black,14228,439,5793,40.7,4162,29.3,3386,23.8,887,6.2,4273,30.0
BRONX,All Grades,2023,Hispanic,42080,440,16400,39.0,12417,29.5,10548,25.1,2715,6.5,13263,31.5
BRONX,All Grades,2023,Multi-Racial,334,451,90,26.9,77,23.1,115,34.4,52,15.6,167,50.0
BRONX,All Grades,2023,Native American,609,445,204,33.5,167,27.4,182,29.9,56,9.2,238,39.1
BRONX,All Grades,2023,White,2784,454,625,22.4,655,23.5,961,34.5,543,19.5,1504,54.0
BRONX,3,2022,Asian,603,600,128,21.2,149,24.7,184,30.5,142,23.5,326,54.1
BRONX,3,2022,Black,2418,586,1122,46.4,654,27.0,479,19.8,163,6.7,642,26.6
BRONX,3,2022,Hispanic,7144,586,3356,47.0,1933,27.1,1398,19.6,457,6.4,1855,26.0
