Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
BRONX,3,2024,Econ Disadv,7686,444,1533,19.9,2997,39.0,2516,32.7,640,8.3,3156,41.1
BRONX,3,2024,Not Econ Disadv,2260,444,510,22.6,807,35.7,709,31.4,234,10.4,943,41.7
BRONX,4,2024,Econ Disadv,8097,445,2607,32.2,2180,26.9,2454,30.3,856,10.6,3310,40.9
BRONX,4,2024,Not Econ Disadv,2192,446,743,33.9,502,22.9,664,30.3,283,12.9,947,43.2
BRONX,5,2024,Econ Disadv,8563,442,3324,38.8,2246,26.2,2255,26.3,738,8.6,2993,35.0
BRONX,5,2024,Not Econ Disadv,1866,447,630,33.8,431,23.1,532,28.5,273,14.6,805,43.1
BRONX,6,2024,Econ Disadv,7815,441,2872,36.7,2334,29.9,2148,27.5,461,5.9,2609,33.4
BRONX,6,2024,Not Econ Disadv,2780,443,991,35.6,785,28.2,783,28.2,221,7.9,1004,36.1
BRONX,7,2024,Econ Disadv,8716,448,2057,23.6,2857,32.8,2544,29.2,1258,14.4,3802,43.6
BRONX,7,2024,Not Econ Disadv,1951,447,586,30.0,529,27.1,517,26.5,319,16.4,836,42.8
BRONX,8,2024,Econ Disadv,6572,441,2897,44.1,1374,20.9,1681,25.6,620,9.4,2301,35.0
BRONX,8,2024,Not Econ Disadv,1369,441,623,45.5,264,19.3,335,24.5,147,10.7,482,35.2
BRONX,All Grades,2024,Econ Disadv,47449,444,15290,32.2,13988,29.5,13598,28.7,4573,9.6,18171,38.3
BRONX,All Grades,2024,Not Econ Disadv,12418,445,4083,32.9,3318,26.7,3540,28.5,1477,11.9,5017,40.4
BRONX,3,2023,Econ Disadv,9142,441,2437,26.7,3449,37.7,2501,27.4,755,8.3,3256,35.6
BRONX,3,2023,Not Econ Disadv,1069,455,133,12.4,318,29.7,418,39.1,200,18.7,618,57.8
BRONX,4,2023,Econ Disadv,9894,439,3971,40.1,2764,27.9,2591,26.2,568,5.7,3159,31.9
BRONX,4,2023,Not Econ Disadv,1135,454,254,22.4,250,22.0,424,37.4,207,18.2,631,55.6
BRONX,5,2023,Econ Disadv,10172,439,4200,41.3,2839,27.9,2486,24.4,647,6.4,3133,30.8
BRONX,5,2023,Not Econ Disadv,1220,453,284,23.3,268,22.0,445,36.5,223,18.3,668,54.8
