Borough,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
BRONX,3,2024,Not SWD,7471,448,1155,15.5,2796,37.4,2744,36.7,776,10.4,3520,47.1
BRONX,3,2024,SWD,2475,432,888,35.9,1008,40.7,481,19.4,98,4.0,579,23.4
BRONX,4,2024,Not SWD,7699,450,1977,25.7,2030,26.4,2668,34.7,1024,13.3,3692,48.0
BRONX,4,2024,SWD,2590,432,1373,53.0,652,25.2,450,17.4,115,4.4,565,21.8
BRONX,5,2024,Not SWD,7687,447,2291,29.8,2072,27.0,2397,31.2,927,12.1,3324,43.2
BRONX,5,2024,SWD,2742,430,1663,60.6,605,22.1,390,14.2,84,3.1,474,17.3
BRONX,6,2024,Not SWD,7813,445,2230,28.5,2405,30.8,2544,32.6,634,8.1,3178,40.7
BRONX,6,2024,SWD,2782,430,1633,58.7,714,25.7,387,13.9,48,1.7,435,15.6
BRONX,7,2024,Not SWD,8090,452,1522,18.8,2513,31.1,2599,32.1,1456,18.0,4055,50.1
BRONX,7,2024,SWD,2577,435,1121,43.5,873,33.9,462,17.9,121,4.7,583,22.6
BRONX,8,2024,Not SWD,5693,447,1980,34.8,1268,22.3,1736,30.5,709,12.5,2445,42.9
BRONX,8,2024,SWD,2248,428,1540,68.5,370,16.5,280,12.5,58,2.6,338,15.0
BRONX,All Grades,2024,Not SWD,44453,448,11155,25.1,13084,29.4,14688,33.0,5526,12.4,20214,45.5
BRONX,All Grades,2024,SWD,15414,431,8218,53.3,4222,27.4,2450,15.9,524,3.4,2974,19.3
BRONX,3,2023,Not SWD,7848,446,1601,20.4,2845,36.3,2535,32.3,867,11.0,3402,43.3
BRONX,3,2023,SWD,2363,431,969,41.0,922,39.0,384,16.3,88,3.7,472,20.0
BRONX,4,2023,Not SWD,8283,445,2612,31.5,2327,28.1,2618,31.6,726,8.8,3344,40.4
BRONX,4,2023,SWD,2746,428,1613,58.7,687,25.0,397,14.5,49,1.8,446,16.2
BRONX,5,2023,Not SWD,8549,445,2775,32.5,2437,28.5,2525,29.5,812,9.5,3337,39.0
BRONX,5,2023,SWD,2843,429,1709,60.1,670,23.6,406,14.3,58,2.0,464,16.3
BRONX,6,2023,Not SWD,8073,443,2860,35.4,2354,29.2,2271,28.1,588,7.3,2859,35.4
BRONX,6,2023,SWD,2647,428,1708,64.5,603,22.8,300,11.3,36,1.4,336,12.7
